Academic Year,UniversityID,DegreeID,Degree,sameAsWikidata,sameAs,Ambit-id,AcademicLevelId,Credits,Offered Credits
2024-25,a62a164f781be26dd225dfda47b78c12,71490765dd8a90402bd320f4c09aaff1,ADMINISTRACION Y DIRECCION DE EMPRESAS-TURISMO,ADMINISTRACION Y DIRECCION DE EMPRESAS-TURISMO,,03b7c4d6f22bd8efa1659d8e6a06d97e,d6d85d89b4612501521435bd3f620a9a,330,330
2024-25,a62a164f781be26dd225dfda47b78c12,1c6ef536a721e6a27f674a015578b9fd,DERECHO-ADMINISTRACION Y DIRECCION DE EMPRESAS,DERECHO-ADMINISTRACION Y DIRECCION DE EMPRESAS,,03b7c4d6f22bd8efa1659d8e6a06d97e,d6d85d89b4612501521435bd3f620a9a,360,247.5
2024-25,a62a164f781be26dd225dfda47b78c12,402c2c235be6d27bd0b3641e7c50ae7f,ADMINISTRACION Y DIRECCION DE EMPRESAS,business administration and management,https://www.wikidata.org/wiki/Q8188423,03b7c4d6f22bd8efa1659d8e6a06d97e,d6d85d89b4612501521435bd3f620a9a,240,322.5
2024-25,a62a164f781be26dd225dfda47b78c12,4a3a00a6a21ec6c225c470b015de43c1,DERECHO,law,https://www.wikidata.org/wiki/Q7748,03b7c4d6f22bd8efa1659d8e6a06d97e,d6d85d89b4612501521435bd3f620a9a,240,291
2024-25,a62a164f781be26dd225dfda47b78c12,c3bf0872c66988b882d13d23fd540acc,RELACIONES LABORALES Y DESARROLLO DE RECURSOS HUMANOS,RELACIONES LABORALES Y DESARROLLO DE RECURSOS HUMANOS,,03b7c4d6f22bd8efa1659d8e6a06d97e,d6d85d89b4612501521435bd3f620a9a,240,264
2024-25,a62a164f781be26dd225dfda47b78c12,3b23d069ecf536226bd207af0827e75e,TURISMO,tourism studies,https://www.wikidata.org/wiki/Q976962,03b7c4d6f22bd8efa1659d8e6a06d97e,d6d85d89b4612501521435bd3f620a9a,240,264
2024-25,a62a164f781be26dd225dfda47b78c12,d1f57858a054797c6821de9b7c26a6e6,COMUNICACION AUDIOVISUAL-PERIODISMO,COMUNICACION AUDIOVISUAL-PERIODISMO,,03b7c4d6f22bd8efa1659d8e6a06d97e,d6d85d89b4612501521435bd3f620a9a,324,342
2024-25,a62a164f781be26dd225dfda47b78c12,5964c6cfa3c80a441788e26bc49d2d20,COMUNICACION AUDIOVISUAL,audiovisual communication,https://www.wikidata.org/wiki/Q3755147,03b7c4d6f22bd8efa1659d8e6a06d97e,d6d85d89b4612501521435bd3f620a9a,240,246
2024-25,a62a164f781be26dd225dfda47b78c12,8690993afee999ffcecd1477e49e4dd2,PERIODISMO,journalism,https://www.wikidata.org/wiki/Q11030,03b7c4d6f22bd8efa1659d8e6a06d97e,d6d85d89b4612501521435bd3f620a9a,240,258
2024-25,a62a164f781be26dd225dfda47b78c12,6934eace5195aa66924eb7dfb980e09d,EDUCACION PRIMARIA-EDUCACION INFANTIL,early childhood education,https://www.wikidata.org/wiki/Q1472221,03b7c4d6f22bd8efa1659d8e6a06d97e,eb0a191797624dd3a48fa681d3061212,363,441
2024-25,a62a164f781be26dd225dfda47b78c12,04fd0d8a547a17bf0ee061c8270e1972,EDUCACION INFANTIL,preschool education in Spain,https://www.wikidata.org/wiki/Q3396243,03b7c4d6f22bd8efa1659d8e6a06d97e,eb0a191797624dd3a48fa681d3061212,240,459
